City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
495,Malartic,CA,77.02,overcast clouds,48.1335,-78.1328,Camping Regional De Malartic
496,Kedougou,SN,82.38,overcast clouds,12.5579,-12.1743,Relais de Kédougou
498,Itoman,JP,82.42,clear sky,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
499,Alugan,PH,78.26,overcast clouds,12.2188,125.4808,JM Lodge
501,Tuchkovo,RU,75.0,broken clouds,55.6011,36.4681,Na Tekhnologicheskom
504,Matagami,CA,73.51,overcast clouds,49.7502,-77.6328,Motel Le Caribou
510,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
513,Xunchang,CN,72.59,overcast clouds,28.4543,104.715,Jiabin Inn
515,Sokoni,TZ,75.74,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
519,Yanam,IN,79.29,broken clouds,16.7333,82.2167,The Regency Hotel
521,Marsa Matruh,EG,79.27,clear sky,31.3525,27.2453,Beau Site
523,Along,IN,73.69,broken clouds,28.1667,94.7667,Hotel West
526,Tagusao,PH,80.76,scattered clouds,9.1924,117.8141,Caycay future beach resort
527,Senneterre,CA,70.72,overcast clouds,48.3835,-77.2328,Motel Senabi
528,La Reforma,MX,89.33,overcast clouds,25.0833,-108.05,Hotel Reforma
529,Auki,SB,75.78,scattered clouds,-8.7676,160.7034,Auki Motel
530,Rosetta,EG,79.36,clear sky,31.4044,30.4164,Green Valley
532,Melfi,IT,74.1,light rain,40.9965,15.6514,HOTEL TERME DI RAPOLLA
536,Tam Ky,VN,76.59,scattered clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
537,Thayetmyo,MM,81.25,broken clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
538,Zhanaozen,KZ,87.19,few clouds,43.3,52.8,K.korabay 28A
539,Shintomi,JP,76.89,few clouds,32.0785,131.4723,ホテルスイート
540,Miri,MY,75.6,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
541,Pasighat,IN,77.05,overcast clouds,28.0667,95.3333,Siang Guest House
543,Shiloh,US,83.43,broken clouds,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O'Fallon IL
545,La Libertad,EC,74.86,scattered clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
548,Ratnagiri,IN,79.75,overcast clouds,16.9833,73.3,Hotel Landmark
552,Mae Ramat,TH,79.81,few clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
